ISO-639-3,Name,Train-Cuts,Validation-Cuts,Test-Cuts
ajz,Amri-Karbi,135,34,50
bam,Bamanankan,203,50,50
bis,Bislama,0,0,46
bjn,Banjar,80,20,50
boz,Bozo-Tieyaxo,427,50,52
bze,Bozo-Jenaama,101,26,50
bzi,Bisu,1363,50,157
cak,Kaqchikel,989,50,115
ceb,Cebuano,553,50,67
chd,Chontal-Highland-Oaxaca,205,50,50
chp,Dene,0,0,14
clo,Chontal-Lowland-Oaxaca,120,30,50
csw,Cree-Swampy,0,0,45
eng,English,4143,48,455
fli,Fali-Muchella,59,15,50
fra,French,261,49,50
guj,Gujarati,27,0,48
hbb,Nya-Huba,558,50,67
hin,Hindi,62,15,49
ind,Indonesian,0,0,14
jmx,Mixtec-Western-Juxtlahuaca,39,0,50
jra,Jarai,203,50,50
kan,Kannada,281,43,50
kbq,Kamano,0,0,27
kek,Q’eqchi’,1676,49,190
kjb,Q’anjob’al,770,50,91
kmu,Kanite,0,0,28
kqr,Kimaragang,0,0,18
kwu,Kwakum,58,15,50
loh,Narim,0,0,15
mai,Maithili,0,0,11
mal,Malayalam,125,31,44
mam,Mam,1313,50,151
mar,Marathi,25,0,49
mle,Manambu,0,0,8
mya,Burmese,321,50,50
myk,Sénoufo-Mamara,669,50,80
nas,Naasioi,13,0,50
nsk,Naskapi,0,0,15
nsn,Nehan,0,0,31
oji,Ojibwa,0,0,25
omw,Tairora-South,0,0,34
por,Portuguese,0,0,34
quc,K’iche’,1460,50,167
sdk,Sos-Kundi,312,50,50
snk,Soninke,546,50,66
spa,Spanish,1816,50,207
stk,Aramba,180,45,50
taj,Tamang-Eastern,0,0,24
tam,Tamil,159,39,46
tbj,Tiang,0,0,24
tdc,Ẽpẽra-Pedea,0,0,19
tgl,Tagalog,352,48,50
tpi,Tok-Pisin,1061,50,123
tuz,Turka,48,13,50
tzj,Tz’utujil,0,0,41